query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus
F1;350.2;32.19999999999999;29.80000000000001;270.5;33.5;27.5;29;8;7;30.5;9.5;5.5;56;14;22;56.75;14.75;20.25;16.8;8.8;13.2;NaN;NaN;NaN;6.2;1.2000000000000002;0.7999999999999998;5.75;0.75;0.25;26.2;8.2;4.800000000000001;28;2;3;24.8;2.8000000000000007;4.199999999999999;23;2;3
F2;98.4;61.400000000000006;200.6;19.5;2.5;2.5;31.4;12.399999999999999;10.600000000000001;35;6;6;37;13;12;36;12;12;19.2;10.2;21.8;NaN;NaN;NaN;13.2;1.1999999999999993;4.800000000000001;14.5;2.5;2.5;8.2;3.1999999999999993;12.8;11;6;6;63.6;5.600000000000001;9.399999999999999;65.5;6.5;6.5
F3;260.8;32.80000000000001;84.19999999999999;24.2;9.2;22.8;26.2;3.1999999999999993;12.8;25.2;3.1999999999999993;12.8;57.6;17.6;15.399999999999999;56.2;18.200000000000003;15.799999999999997;22;13;5;NaN;NaN;NaN;8.6;0.5999999999999996;0.40000000000000036;8;1;1;16.6;1.6000000000000014;2.3999999999999986;15.6;1.5999999999999996;2.4000000000000004;23.8;0.8000000000000007;1.1999999999999993;23;1;1
F4;336.2;16.19999999999999;20.80000000000001;155.25;69.25;57.75;36.8;13.799999999999997;21.200000000000003;38.5;16.5;16.5;64.6;13.599999999999994;15.400000000000006;59.75;9.75;19.25;32.2;22.200000000000003;28.799999999999997;NaN;NaN;NaN;36.2;3.200000000000003;2.799999999999997;36;1;1;18.8;0.8000000000000007;1.1999999999999993;15.5;4.5;1.5;115.6;6.599999999999994;6.400000000000006;115.25;6.25;3.75
F5;158;26;52;11.8;3.8000000000000007;9.2;40;16;15;37;16;15;38.4;13.399999999999999;6.600000000000001;35.8;13.799999999999997;6.200000000000003;26.4;18.4;18.6;NaN;NaN;NaN;14.4;2.4000000000000004;2.5999999999999996;12.2;2.1999999999999993;1.8000000000000007;13.6;1.5999999999999996;1.4000000000000004;6.6;0.5999999999999996;1.4000000000000004;27.2;4.199999999999999;4.800000000000001;25;4;4
L1;17.4;5.399999999999999;20.6;10;4;12;29.2;13.2;22.8;29;13;23;22.2;3.1999999999999993;4.800000000000001;21.8;2.8000000000000007;4.199999999999999;10.4;3.4000000000000004;10.6;NaN;NaN;NaN;4;0;0;4;NaN;NaN;3.4;0.3999999999999999;0.6000000000000001;3.2;0.20000000000000018;0.7999999999999998;12.4;0.40000000000000036;0.5999999999999996;12.2;1.1999999999999993;0.8000000000000007
L2;75.2;42.2;50.8;30.6;21.6;26.4;34.2;5.200000000000003;5.799999999999997;31.4;3.3999999999999986;4.600000000000001;115.8;71.8;69.2;113;70;67;27.4;19.4;18.6;NaN;NaN;NaN;9.4;5.4;6.6;7.6;4.6;5.4;55.2;40.2;26.799999999999997;23;9;6;21.2;8.2;6.800000000000001;18.4;5.399999999999999;5.600000000000001
L3;14.2;6.199999999999999;17.8;4.6;0.5999999999999996;0.40000000000000036;21.2;2.1999999999999993;5.800000000000001;20.4;2.3999999999999986;6.600000000000001;20.8;1.8000000000000007;4.199999999999999;19;1;1;14;7;11;NaN;NaN;NaN;4.8;0.7999999999999998;0.20000000000000018;3.8;0.7999999999999998;0.20000000000000018;4;2;1;3.8;1.7999999999999998;1.2000000000000002;5.8;0.7999999999999998;1.2000000000000002;4.8;0.7999999999999998;1.2000000000000002
L4;64.6;10.599999999999994;25.400000000000006;10.8;0.8000000000000007;1.1999999999999993;25.8;3.8000000000000007;8.2;24.8;3.8000000000000007;8.2;35.6;15.600000000000001;28.4;34.4;15.399999999999999;28.6;13.8;6.800000000000001;10.2;NaN;NaN;NaN;6.8;1.7999999999999998;1.2000000000000002;5.6;1.5999999999999996;1.4000000000000004;13.2;0.1999999999999993;0.8000000000000007;9;1;1;14;2;2;13;2;2
L5;174;32;37;91.2;83.2;51.8;38.2;18.200000000000003;13.799999999999997;33.2;14.200000000000003;9.799999999999997;93;76;80;78;61;81;17.6;10.600000000000001;8.399999999999999;NaN;NaN;NaN;15.4;11.4;8.6;11.6;7.6;6.4;53.4;39.4;27.6;15;2;2;30;11;10;25.8;6.800000000000001;6.199999999999999
S1;70.2;45.2;54.8;23;7;7;19.6;1.6000000000000014;1.3999999999999986;19.5;0.5;0.5;27.8;3.8000000000000007;7.199999999999999;28.5;5.5;5.5;16;7;11;NaN;NaN;NaN;223.2;4.199999999999989;5.800000000000011;224;4;4;11.4;4.4;5.6;15;1;1;200.8;5.800000000000011;10.199999999999989;203;8;8
S2;145.6;31.599999999999994;43.400000000000006;12.8;5.800000000000001;10.2;23;3;6;22.2;3.1999999999999993;6.800000000000001;30;7;17;29.2;7.199999999999999;16.8;24.6;17.6;20.4;NaN;NaN;NaN;5.4;0.40000000000000036;0.5999999999999996;4.8;0.7999999999999998;0.20000000000000018;12;2;2;11;2;2;9.2;2.1999999999999993;4.800000000000001;8.4;2.4000000000000004;4.6
S3;535.8;23.799999999999955;45.200000000000045;NaN;NaN;NaN;27.2;6.199999999999999;4.800000000000001;NaN;NaN;NaN;46;11;9;NaN;NaN;NaN;10;3;12;NaN;NaN;NaN;4.4;0.40000000000000036;1.5999999999999996;NaN;NaN;NaN;27.4;0.3999999999999986;0.6000000000000014;NaN;NaN;NaN;18;3;6;NaN;NaN;NaN
S4;401.8;96.80000000000001;99.19999999999999;280.5;123.5;123.5;41.4;22.4;58.6;73.5;26.5;26.5;45.4;17.4;22.6;42;1;1;13;7;10;NaN;NaN;NaN;4;0;0;4;NaN;NaN;71;55;107;149;29;29;9.6;1.5999999999999996;3.4000000000000004;9;NaN;NaN
S6;25.4;5.399999999999999;4.600000000000001;10;4;4;22.8;4.800000000000001;8.2;19.5;1.5;1.5;22.6;5.600000000000001;18.4;30;10;10;6.4;0.40000000000000036;0.5999999999999996;NaN;NaN;NaN;3;0;0;3;NaN;NaN;3.6;0.6000000000000001;0.3999999999999999;4;NaN;NaN;7.4;1.4000000000000004;1.5999999999999996;7;2;2
S7;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;17.6;1.6000000000000014;1.3999999999999986;NaN;NaN;NaN;19.4;2.3999999999999986;9.600000000000001;NaN;NaN;NaN;10.6;4.6;8.4;NaN;NaN;NaN;3.6;0.6000000000000001;0.3999999999999999;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;14.8;1.8000000000000007;3.1999999999999993;NaN;NaN;NaN
